player,position,team,salary
Kirk Cousins,QB,WAS,23943600
Trumaine Johnson,CB,LAR,16742400
Von Miller,LB,DEN,16500000
Josh Norman,CB,WAS,16500000
Justin Houston,LB,KAN,16350000
Matt Ryan,QB,ATL,15750000
Carson Palmer,QB,ARI,15500000
Muhammad Wilkerson,DT,NYJ,14750000
Sam Bradford,QB,MIN,14000000
Malik Jackson,DT,JAX,13500000
Gerald McCoy,DT,TAM,13250000
Cam Newton,QB,CAR,13166666
Andy Dalton,QB,CIN,13100000
Drew Brees,QB,NOR,13000000
Dez Bryant,WR,DAL,13000000
Eli Manning,QB,NYG,13000000
Janoris Jenkins,CB,NYG,12900000
Ezekiel Ansah,DE,DET,12734000
Russell Wilson,QB,SEA,12600000
Aaron Rodgers,QB,GNB,12550000
Le'Veon Bell,RB,PIT,12120000
Ben Roethlisberger,QB,PIT,12000000
Olivier Vernon,DE,NYG,11750000
Julio Jones,WR,ATL,11500000
Richard Sherman,DB,SEA,11431000
Trent Williams,T,WAS,11250000
Philip Rivers,QB,LAC,11000000
Aqib Talib,DB,DEN,11000000
Larry Fitzgerald,WR,ARI,11000000
Alex Smith,QB,KAN,10800000
J.J. Watt,DE,HOU,10500000
A.J. Green,WR,CIN,10300000
Clay Matthews,LB,GNB,10100000
Ndamukong Suh,DT,MIA,9985000
Patrick Peterson,CB,ARI,9750000
Calais Campbell,DE,JAX,9000000
Cordy Glenn,T,BUF,9000000
Vontae Davis,DB,IND,9000000
Justin Pugh,OG,NYG,8821000
Joe Thomas,T,CLE,8800000
Damon Harrison,DT,NYG,8750000
Randall Cobb,WR,GNB,8600000
Demaryius Thomas,WR,DEN,8500000
Earl Thomas,DB,SEA,8500000
Alec Ogletree,OLB,LAR,8369000
Joe Staley,T,SFO,8250000
Jordy Nelson,WR,GNB,8250000
Ryan Kerrigan,DE,WAS,8250000
Sheldon Richardson,DT,SEA,8069000
Xavier Rhodes,CB,MIN,8026000
Corey Liuget,DT,LAC,8000000
T.Y. Hilton,WR,IND,8000000
Mike Glennon,QB,CHI,8000000
DeAndre Hopkins,WR,HOU,8000000
Mike Iupati,G,ARI,8000000
Mike Pouncey,OL,MIA,7950000
Jimmy Graham,TE,SEA,7900000
Lane Johnson,OT,PHI,7750000
Tyrod Taylor,QB,BUF,7500000
